run_id	max_median_s21	max_median_s51	max_median_s101	freq_EM	freq_EA	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	sim:targetedNonEM	sim:targetedRLDscntFctr	sim:targetedRLOppFctr	simtype:ResumeSimFromFile	critic:posRewardBias	critic:angv_bias	critic:clear_flips	critic:total_gain
16563	84.0	77.0	72.0	6.5753875	5.4683375	0.005	-0.005	1	1.0	0.8	results/hpsearch-2021-09-04/initv1_51286/synWeights_final.pkl	2.5	0.5	True	2.5
5615	94.0	75.0	71.0	6.462999999999999	5.4092875	0.015	-0.015	1	0.2	0.8	results/hpsearch-2021-09-04/initv2_3161/synWeights_final.pkl	3.0	2.0	True	3.5
10454	95.0	86.0	71.0	6.601025	5.4611375	0.01	-0.01	1	0.5	0.8	results/hpsearch-2021-09-04/initv1_106756/synWeights_final.pkl	2.5	1.0	False	3.5
10469	84.0	75.0	70.0	6.539825	5.496425	0.01	-0.01	1	0.5	0.8	results/hpsearch-2021-09-04/initv1_106756/synWeights_final.pkl	2.8	0.5	True	3.5
10146	86.0	70.0	70.0	6.611212500000001	5.405975	0.01	-0.01	1	0.2	0.9	results/hpsearch-2021-09-04/initv1_51286/synWeights_final.pkl	3.0	2.0	False	2.5
4369	87.0	77.0	70.0	11.5582875	8.373149999999999	0.015	-0.015	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	3.0	0.5	False	3.0
5720	78.0	70.0	68.0	6.5045125	5.4582625	0.015	-0.015	1	0.2	0.9	results/hpsearch-2021-09-04/initv1_106756/synWeights_final.pkl	2.8	0.8	False	3.5
5239	75.0	71.0	67.0	11.68655	8.393925	0.015	-0.015	1	0.2	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	3.0	0.8	False	3.0
2160	88.0	72.0	65.0	11.985837499999999	8.620825	0.02	-0.02	1	0.5	0.9	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	0.5	False	2.5
13869	91.0	67.0	63.0	11.561225	8.544875000000001	0.005	-0.005	1	0.2	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	2.0	True	2.5
13494	78.0	64.0	62.0	6.4488	5.4341875	0.005	-0.005	0	1.0	0.9	results/hpsearch-2021-09-04/initv1_106756/synWeights_final.pkl	2.8	0.8	False	2.5
447	69.0	64.0	61.0	11.751475000000001	8.530725	0.02	-0.02	0	1.0	0.9	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	1.0	True	2.5
16461	79.0	65.0	61.0	11.434125	8.5827875	0.005	-0.005	1	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	2.0	True	2.5
11699	80.0	69.0	60.0	11.585375	8.4884375	0.01	-0.01	1	0.8	0.9	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	0.8	True	3.5
16034	78.0	63.0	60.0	11.468287499999999	8.601212499999999	0.005	-0.005	1	0.8	0.9	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	3.0	0.5	False	3.5
7382	84.0	73.0	59.0	11.616150000000001	8.257737500000001	0.015	-0.015	1	0.8	0.9	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	1.0	False	3.5
11677	81.0	65.0	58.0	11.5552125	8.565887499999999	0.01	-0.01	1	0.8	0.9	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	1.0	False	3.0
9103	78.0	64.0	56.0	11.704699999999999	8.596275	0.01	-0.01	0	1.0	0.9	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	0.8	False	3.0
1308	69.0	60.0	55.0	11.5507875	8.401712499999999	0.02	-0.02	1	0.2	0.9	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	1.0	False	2.5
10381	87.0	64.0	55.0	11.637662500000001	8.40595	0.01	-0.01	1	0.5	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.5	1.0	False	3.0
8671	71.0	59.0	54.0	11.663987500000001	8.5875	0.01	-0.01	0	1.0	0.8	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	0.8	False	3.0
9111	76.0	69.0	54.0	11.5383125	8.5008	0.01	-0.01	0	1.0	0.9	results/hpsearch-2021-09-04/initv1_77471/synWeights_final.pkl	2.8	1.0	True	2.5
